id,source_id,fragment_type,text_excerpt,structured_payload,effect_direction,strength_score,extraction_method,extraction_confidence,date_extracted,notes
EVD-000077,SRC-000077,result,"Autism spectrum disorder (ASD) is a pervasive neurodevelopmental disorder with repetitive behaviour which affects interaction and communication. Sulforaphane (SFN), an isothiocyanate abundant in the seeds and sprouts of cruciferous vegetables, has been shown to be effective in alleviating autistic behaviour. We performed a prospective double-blind placebo-controlled study to examine the possible effect of SFN in a paediatric cohort aged three to seven years based on measurements of the Autism Di","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.1544,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000078,SRC-000078,result,"Broccoli sprouts contain 10-100 times higher levels of sulforaphane than mature plants, something that has been well known since 1997. Sulforaphane has a whole range of unique biological properties, and it is especially an inducer of phase 2 detoxication enzymes. Therefore, its use has been intensively studied in the field of health and nutrition. The formation of sulforaphane is controlled by the epithiospecifier protein, a myrosinase co-factor, which is temperature-specific. This paper studies","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000079,SRC-000079,result,"Autism spectrum disorder (ASD) is a complex neurodevelopmental disorder with symptoms ranging from lack of social interaction and communication deficits to rigid, repetitive, and stereotypic behavior. It has also been associated with comorbidities such as anxiety, aggression, epilepsy, deficit in sensory processing, as well as ADHD (attention deficit hyperactivity disorder). Apart from several behavioral and cognitive complications arising as a result of central nervous system dysfunction, there","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000080,SRC-000080,result,"Autism Spectrum Disorder (ASD) is a group of neurodevelopmental disorders characterized by impairments in social communication, restricted interests, and repetitive behaviors. Although its etiology remains incompletely understood, increasing evidence suggests a multifactorial origin involving genetic alterations, immune dysregulation, and environmental exposures. The aim of this study was to investigate the redox-sensitive Nrf2 signaling pathway in primary dermal fibroblasts isolated from ASD pa","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000081,SRC-000081,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000082,SRC-000082,result,"Autism Spectrum Disorder (ASD) comprises a heterogeneous group of neurodevelopmental disorders that begin in early childhood. They are characterized by differences in behavior and delays in communication and affect at least 1% of children. Observational studies have now confirmed that behaviors of a substantial percentage of children with autism tend to improve with the onset of febrile illness, which might be the downstream effects of altered metabolic pathways involving increased expression of","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000083,SRC-000083,result,"Autism spectrum disorder (ASD) is a heterogeneous neurodevelopmental condition with a so far poorly understood underlying pathogenesis, and few effective therapies for core symptoms. Accumulating evidence supports an association between ASD and immune/inflammatory processes, arising as a possible pathway for new drug intervention. However, current literature on the efficacy of immunoregulatory/anti-inflammatory interventions on ASD symptoms is still limited. The aim of this narrative review was ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000084,SRC-000084,result,"Autism spectrum disorder (ASD) is an early-onset disorder with a prevalence of 1% among children and reported disability-adjusted life years of 4.31 million. Irritability is a challenging behavior associated with ASD, for which medication development has lagged. More specifically, pharmacotherapy effectiveness may be limited against high adverse effects (considering side effect profiles and patient medication sensitivity); thus, the possible benefits of pharmacological interventions must be bala","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000085,SRC-000085,result,"Prenatal brain development is particularly sensitive to chemicals that can disrupt synapse formation and cause neurodevelopmental disorders. In most cases, such chemicals increase cellular oxidative stress. For example, prenatal exposure to the anti-epileptic drug valproic acid (VPA), induces oxidative stress and synaptic alterations, promoting autism spectrum disorders (ASD) in humans and autism-like behaviors in rodents. Using VPA to model chemically induced ASD, we tested whether activation o","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000086,SRC-000086,result,"Autism spectrum disorder (ASD) is a neurodevelopmental disorder that is characterized by deficits in social interactions and perseverative and stereotypical behavior. Growing evidence points toward a critical role for synaptic dysfunction in the onset of ASD, and synaptic function is influenced by glial cells. Considering the evidence that neuroinflammation in ASD is mediated by glial cells, one hypothesis is that reactive glial cells, under inflammatory conditions, contribute to the loss of syn","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000087,SRC-000087,result,"Sulforaphane has been reported to possibly improve core symptoms associated with autism spectrum disorders from mostly small size studies. Here we present results of a larger randomized clinical trial (N = 108) in China. There were no significant changes in caregiver rated scales between sulforaphane and placebo groups. However, clinician rated scales showed a significant improvement in the sulforaphane group, and one third of participants showed at least a 30% decrease in score by 12 weeks trea","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.1544,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000088,SRC-000088,result,"In the last decade, the prevalence of autism spectrum disorders (ASD) has dramatically escalated worldwide. Currently available drugs mainly target some co-occurring symptoms of ASD, but are not effective on the core symptoms, namely impairments in communication and social interaction, and the presence of restricted and repetitive behaviors. On the other hand, transplantation of hematopoietic and mesenchymal stem cells in ASD children has been shown promising to stimulate the recruitment, prolif","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000089,SRC-000089,result,"Sulforaphane, a phytochemical abundant in the sprouts of cruciferous vegetables, protects plants during a critical period of development. Through sulforaphane's ability to activate the mammalian Nuclear Factor Erythroid 2-related Factor 2 (NRF2) pathway, these beneficial properties extend beyond plants. Our current review explores emerging neuroprotective mechanisms of sulforaphane and their relation to neurological disorders. Primarily, we discuss the ability of sulforaphane to mitigate oxidati","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000090,SRC-000090,result,"Isothiocyanates from cruciferous vegetables have been studied extensively in cells and in animals for their disease preventive and therapeutic effects. However, translating their utility to human populations has been both limited and challenging. Herein, clinical trials employing two isothiocyanates, sulforaphane (SFN; 1-isothiocyanato-4-(methylsulfinyl) butane) and phenethyl isothiocyanate (PEITC; 2-isothiocyanatoethylbenzene) that are isolated principally from broccoli and watercress, respecti","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000091,SRC-000091,result,"Irritability related to autism spectrum disorder (ASD) complicates the management of ASD patients at home and in clinical settings. In this randomized, double-blind, placebo-controlled clinical trial, we aimed to investigate the beneficial effects of adjuvant treatment with risperidone and sulforaphane in alleviating the irritability of children with ASD. Sixty drug-free patients aged 4-12 years were randomly assigned to one of two groups receiving risperidone plus sulforaphane or placebo. Rispe","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.1544,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000092,SRC-000092,result,"Environmental factors, including pesticides, have been linked to autism and neurodegeneration risk using retrospective epidemiological studies. Here we sought to prospectively identify chemicals that share transcriptomic signatures with neurological disorders, by exposing mouse cortical neuron-enriched cultures to hundreds of chemicals commonly found in the environment and on food. We find that rotenone, a pesticide associated with Parkinson's disease risk, and certain fungicides, including pyra","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000093,SRC-000093,result,"Autism spectrum disorder (ASD) is a complex neurodevelopmental disorder with an unknown etiology and currently few effective therapies. Immune system alterations have being demonstrated in ASD, both in humans and via animal models; immune imbalance thus arises as a possible pathway for drug intervention. In this review, the studies were classified into 2 major groups: (1) clinical research whose authors classify therapies with primary anti-inflammatory and immunomodulatory actions, making use of","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000094,SRC-000094,result,Autism Spectrum Disorder (ASD) is one of the most common neurodevelopmental disorders with no drugs treating the core symptoms and no validated biomarkers for clinical use. The multi-functional phytochemical sulforaphane affects many of the biochemical abnormalities associated with ASD. We investigated potential molecular markers from three ASD-associated physiological pathways that can be affected by sulforaphane: redox metabolism/oxidative stress; heat shock response; and immune dysregulation/,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000095,SRC-000095,result,"Autism spectrum disorder (ASD) is a complex developmental disorder in children that results in abnormal communicative and verbal behaviors. Exposure to heavy metals plays a significant role in the pathogenesis or progression of ASD. Mercury compounds pose significant risk for the development of ASD as children are more exposed to environmental toxicants. Increased concentration of mercury compounds has been detected in different body fluids/tissues in ASD children, which suggests an association ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000096,SRC-000096,result,"Autism spectrum disorder (ASD) is a complex, life-long neurodevelopmental disorder currently affecting an estimated 1 out of 68 among children aged 8 y in the United States. ASD has complex genetic and epigenetic features that lead to the phenotype and there is no single genetic marker for the diagnosis. Therefore, the diagnosis for ASD is phenotype- based with no validated or credible laboratory tests available. Evidence-based treatments for ASD are limited. There is no FDA approved medical the","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0002"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000097,SRC-000097,result,"Autism spectrum disorder (ASD) is a neurodevelopmental disorder that affects 0.6%-1.7% of children. The etiology of autism is hypothesized to include both biological and environmental factors (Watts, 2008). In addition to the core symptoms of social-communication delay and restricted, repetitive interests, co-occurring irritability/aggression, hyperactivity, and insomnia negatively impact adaptive functioning and quality of life of patients and families. Despite years of effort, no pharmacologic","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000098,SRC-000098,result,"Autism spectrum disorder (ASD) is a common neurodevelopmental disorder affecting 2% of children in the United States. Biochemical abnormalities associated with ASD include impaired methylation and sulphation capacities along with low glutathione (GSH) redox capacity. Potential treatments for these abnormalities include cobalamin (B12). This systematic review collates the studies using B12 as a treatment in ASD. A total of 17 studies were identified; 4 were double-blind, placebo-controlled studie","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000099,SRC-000099,result,"Children with autism spectrum disorder (ASD) have been reported to have reduced ability to methylate DNA and elevated markers of oxidative stress. We sought to determine if methyl B12, a key metabolic cofactor for cellular methylation reactions and antioxidant defense, could improve symptoms of ASD. A total of 57 children with ASD were randomly assigned to 8 weeks of treatment with methyl B12 (75 μg/kg) or saline placebo every 3 days in a subcutaneous injection. The primary outcome measure was o","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.1544,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000100,SRC-000100,result,"(1) Background: Autism, also known as autism-spectrum disorder, is a pervasive developmental disorder affecting social skills and psychological status in particular. The complex etiopathogenesis of autism limits efficient therapy, which leads to problems with the normal social integration of the individual and causes severe family distress. Injectable methylcobalamin was shown to improve the clinical status of patients via enhanced cell oxidative status and/or methylation capacity. Here we teste","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000101,SRC-000101,result,"Many studies indicate a crucial role for the vitamin B12 and folate-dependent enzyme methionine synthase (MS) in brain development and function, but vitamin B12 status in the brain across the lifespan has not been previously investigated. Vitamin B12 (cobalamin, Cbl) exists in multiple forms, including methylcobalamin (MeCbl) and adenosylcobalamin (AdoCbl), serving as cofactors for MS and methylmalonylCoA mutase, respectively. We measured levels of five Cbl species in postmortem human frontal co","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000102,SRC-000102,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000103,SRC-000103,result,"The study objectives were to determine whether methyl B12 treatment improves behavioral measures in children with autism and whether improvement is associated with increased plasma concentrations of glutathione (GSH) and an increased redox ratio of reduced glutathione to oxidized glutathione (GSH/GSSG), both of which have been previously identified to be low in children with autism. This was a 12-week, double-blind, placebo-controlled, cross-over clinical trial of injectable methyl B12. Followin","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.1544,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000104,SRC-000104,result,"Antiseizure medications (ASM) may contribute to adverse fetal outcomes in pregnant women with epilepsy (WWE). Folate processing (Methylenetetrahydrofolate reductase, MTHFR) gene abnormalities are common in women with epilepsy and depression. L-methylfolate supplements may bypass MTHFR deficiencies, yet their use in WWE during gestation or on fetal development is not well studied. We examine pregnancy histories of three WWE who supplemented with either folate or L-methylfolate and methylcobalamin","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000105,SRC-000105,result,"This article provides a conceptual overview for the use of biomedical complementary and alternative medicine (CAM) treatments for autism spectrum disorders. Pharmaceutical agents with published studies are briefly mentioned; but the focus of the article is on possible biomedical CAM treatments, the rationale for their use, and the current database of mostly preliminary studies regarding their safety and efficacy. Of the more than 50 treatments currently listed here and in use by eager families, ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000106,SRC-000106,result,"Recent studies point to the effectiveness of novel treatments that address physiological abnormalities associated with autism spectrum disorder (ASD). This is significant because safe and effective treatments for ASD remain limited. These physiological abnormalities as well as studies addressing treatments of these abnormalities are reviewed in this article. Treatments commonly used to treat mitochondrial disease have been found to improve both core and associated ASD symptoms. Double-blind, pla","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000107,SRC-000107,result,"Autism spectrum disorder (ASD) is characterized as a neurodevelopmental disorder in which oxidative stress is a strong hypothesis for the pathophysiology. Treatment usually involves complementary therapies and psychotropic medication. However, despite their benefits, these drugs also cause adverse effects. Thus, substances such as vitamins, minerals, antioxidants, and fatty acids have been the subject of studies due to their possible benefits. This scoping review aimed to map the literature on s","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000108,SRC-000108,result,"This paper reviews the potential role of glutathione (GSH) in autism spectrum disorder (ASD). GSH plays a key role in the detoxification of xenobiotics and maintenance of balance in intracellular redox pathways. Recent data showed that imbalances in the GSH redox system are an important factor in the pathophysiology of ASD. Furthermore, ASD is accompanied by decreased concentrations of reduced GSH in part caused by oxidation of GSH into glutathione disulfide (GSSG). GSSG can react with protein s","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000109,SRC-000109,result,"Nuclear factor erythroid 2-related factor 2 (Nrf2) promotes expression of a large number of antioxidant genes and multiple studies have described oxidative stress and impaired methylation in autism spectrum disorder (ASD), including decreased brain levels of methylcobalamin(III) (MeCbl). Here we report decreased expression of the Nrf2 gene (NFE2L2) in frontal cortex of ASD subjects, as well as differences in other genes involved in redox homeostasis. In pooled control and ASD correlation analyse","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000110,SRC-000110,result,Nutritional supplements have been used for correction of deficiencies that may occur in patient with autism spectrum disorder (ASD) and to improve core symptoms. We aim to provide current best evidence about supplements for nutritional deficiencies and core symptoms in children with ASD and to evaluate the effectiveness and safety. A systematic literature search of scientific databases was performed to retrieve relevant randomized controlled trials. Risk of bias was assessed for each study. 18 r,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000111,SRC-000111,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000112,SRC-000112,result,"Cobalamin C disease is the most common complementation class of cobalamin disorders. Here, we present a case of a 14-yr-old male with early-onset cblC disease and autism spectrum disorder (ASD) admitted to our inpatient medical service for behavioral decompensation. We use this case to highlight key aspects of the neurodevelopmental and neuropsychiatric disorders associated with cblC disease. By incorporating a comprehensive review of existing literature, we highlight salient domains of psycholo","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.0731,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000113,SRC-000113,result,"Autism spectrum disorder is associated with significant social and financial burden and no definite treatment for this entity has been identified, yet. In recent years there has been an increasing interest in the use of dietary interventions as a complementary therapeutic option for these patients. The aim of this systematic review is to provide high evidence level literature data about the effect of dietary supplements on clinical aspects of children with autism. A comprehensive literature sear","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000114,SRC-000114,result,Treatments targeting metabolic abnormalities in children with autism are limited. Previously we reported that a nutritional treatment significantly improved glutathione metabolism in children with autistic disorder. In this study we evaluated changes in adaptive behaviors in this cohort and determined whether such changes are related to changes in glutathione metabolism. Thirty-seven children diagnosed with autistic disorder and abnormal glutathione and methylation metabolism were treated with t,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000115,SRC-000115,result,"Cobalamin (vitamin B12 [Cbl]) is an essential cofactor for many biochemical pathways. Transcobalamin (TC) is required to internalize Cbl into the cells through membrane receptor-mediated endocytosis. Cbl is then processed in the cytoplasm and mitochondria by complementation factors leading to its active metabolites; methylcobalamin and 5-deoxyadenosyl-cobalamin. Deficiency of TC results in an elevation in methylmalonic acid and homocysteine. Patients usually present with macrocytic anemia, pancy","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.0731,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000116,SRC-000116,result,"Autism spectrum disorder (ASD) affects about 1 in 45 individuals in the United States, yet effective treatments are yet to be defined. There is growing evidence that ASD is associated with abnormalities in several metabolic pathways, including the inter-connected folate, methylation and glutathione pathways. Several treatments that can therapeutically target these pathways have been tested in preliminary clinical trials. The combination of methylcobalamin (mB12) with low-dose folinic acid (LDFA)","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000117,SRC-000117,result,"Several studies associate autism spectrum disorder (ASD) pathophysiology with metabolic abnormalities related to DNA methylation and intracellular redox homeostasis. In this regard, three completed clinical trials are reexamined in this work: treatment with (i) methylcobalamin (MeCbl) in combination with low-dose folinic acid (LDFA), (ii) tetrahydrobiopterin, and (iii) high-dose folinic acid (HDFA) for counteracting abnormalities in the folate-dependent one-carbon metabolism (FOCM) and transsulf","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000118,SRC-000118,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000119,SRC-000119,result,"N-acetylcysteine (NAC) is recognized for its role in acetaminophen overdose and as a mucolytic. Over the past decade, there has been growing evidence for the use of NAC in treating psychiatric and neurological disorders, considering its role in attenuating pathophysiological processes associated with these disorders, including oxidative stress, apoptosis, mitochondrial dysfunction, neuroinflammation and glutamate and dopamine dysregulation. In this systematic review we find favorable evidence fo","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0004"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000120,SRC-000120,result,"Currently, pharmaceutical treatment options for autism spectrum disorder are limited. Brain glutaminergic dysregulation is observed in autism spectrum disorder. Updated systematic review and meta-analysis. By systematically searching the PubMed, Embase and Cochrane Library, we obtained five randomized controlled trials. Meta-analyses were performed to examine the improvement in autistic behaviors as measured by the Aberrant Behavior Checklist, Social Responsiveness Scale and Repetitive Behavior ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0004"", ""is_secondary_literature"": true}",unclear,0.1137,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000121,SRC-000121,result,"N-acetylcysteine (NAC) has been reported to improve social interaction behavior, irritability, self-injury, and anxiety-like behavior in autism. However, the molecular mechanism underlying the therapeutic roles of NAC in autism remains unknown. This study mainly aimed to investigate the therapeutic effect of NAC on valproic acid (VPA)-induced autism model and the underlying mechanisms. Our results showed that NAC ameliorated the deficits in sociability and the anxiety- and repetitive-like behavi","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000122,SRC-000122,result,"While behavioral interventions remain the mainstay of treatment of autism spectrum disorder (ASD), several potential targeted treatments addressing the underlying neurophysiology of ASD have emerged in the last few years. These are promising for the potential to, in future, become part of the mainstay treatment in addressing the core symptoms of ASD. Although it is likely that the development of future targeted treatments will be influenced by the underlying heterogeneity in etiology, associated","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0004"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000123,SRC-000123,result,"N-acetyl-L-cysteine (NAC) is a compound of increasing interest in the treatment of psychiatric disorders. Primarily through its antioxidant, anti-inflammatory, and glutamate modulation activity, NAC has been investigated in the treatment of neurodevelopmental disorders, schizophrenia spectrum disorders, bipolar-related disorders, depressive disorders, anxiety disorders, obsessive compulsive-related disorders, substance-use disorders, neurocognitive disorders, and chronic pain. Whilst there is am","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0004"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000124,SRC-000124,result,"N-acetylcysteine (NAC) is a promising agent for reducing irritability and hyperactivity and enhancing social responsiveness in children with autism spectrum disorders (ASD). This study aims to examine the effects of NAC on cardinal symptoms, eating, and sleeping habits in preschool children with autism. The medical records of ASD patients were investigated retrospectively. 37 children with ASD who regularly received oral NAC in two divided doses per day (400-600 mg/day) for 8 weeks were included","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000125,SRC-000125,result,"Autism spectrum disorder (ASD) includes a range of neurodevelopmental disabilities characterized by social interaction deficits, communication impairments, and repetitive behaviors. Previous studies have shown that pro-inflammatory conditions play a key role in ASD. Despite this, how oxidative stress and inflammation may contribute to ASD-related behaviors is still poorly understood. Here, we reported that increased levels of molecules related to inflammation are present in the cerebellum and pe","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000126,SRC-000126,result,"N-acetylcysteine (NAC) is widely known for its role as a mucolytic and as an antidote to paracetamol overdose. There is increasing interest in the use of NAC in the treatment of several psychiatric disorders. The rationale for the administration of NAC in psychiatric conditions is based on its role as a precursor to the antioxidant glutathione, and its action as a modulating agent of glutamatergic, dopaminergic, neurotropic and inflammatory pathways. Areas covered: This study reviews the availab","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0004"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000127,SRC-000127,result,Prenatal exposure to valproic acid (VPA) is a risk factor for autism spectrum disorder (ASD) in humans and it induces autistic-like behaviors in rodents. Imbalances between GABAergic and glutamatergic neurotransmission and increased oxidative stress together with altered glutathione (GSH) metabolism have been hypothesized to play a role in both VPA-induced embriotoxicity and in human ASD. N-acetylcysteine (NAC) is an antioxidant precursor of glutathione and a modulator of glutamatergic neurotran,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000128,SRC-000128,result,"Sulfate availability is crucial for the sulfonation of brain extracellular matrix constituents, membrane phospholipids, neurosteroids, and neurotransmitters. Observations from humans and mouse models suggest dysregulated sulfate levels may be associated with neurodevelopmental disorders, such as autism. However, the cellular mechanisms governing sulfate homeostasis within the developing or adult brain are not fully understood. We utilized a mouse model with a conditional allele for the sulfate t","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000129,SRC-000129,result,"Tobacco smoking is a highly prevalent, addictive behaviour and a key public health priority. However available cessation therapies have low quit and high relapse rates, indicating an urgent need for more effective treatments. Predicated on promising preclinical and pilot clinical data, this paper presents a rationale and protocol for the trial of N-acetylcysteine (NAC) as a novel anti-craving smoking cessation aid. Current smokers (n = 120) of at least 10 cigarettes a day are recruited through o","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
