id,name,category,subcategory,alternate_names,sample_type,units,reference_low,reference_high,reference_optimal_low,reference_optimal_high,age_caveat,what_it_measures,elevated_means,low_means,test_availability,test_cost_usd_low,test_cost_usd_high,turnaround_days,clia_status,lab_options,snp_dependence,interpretation_summary,mechanisms_indicated,phenotypes_stratified,interventions_modulates,hypotheses_tests,key_pmids,created_at,last_updated,notes
BIO-0077,Urine lead,heavy_metals,excretion,,urine,μg/g creatinine,,,,,,,,,commercial,,,,,Doctor's Data,,,MEC-0001,,,HYP-0015,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0078,Urine cadmium,heavy_metals,excretion,,urine,μg/g creatinine,,,,,,,,,commercial,,,,,,,,MEC-0001,,,HYP-0015,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0079,Urine arsenic,heavy_metals,excretion,,urine,μg/g creatinine,,,,,,,,,commercial,,,,,,,Speciation matters: inorganic vs organic (rice/seafood),MEC-0001,,,HYP-0015,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0080,Urine aluminum,heavy_metals,excretion,,urine,μg/g creatinine,,,,,,Aluminum body burden / excretion,,,commercial,,,,,Doctor's Data,,Best paired with provocation challenge for body-burden assessment,MEC-0032,,,HYP-0067,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0081,Urine glyphosate + AMPA,heavy_metals,agrochemical,,urine,μg/g creatinine,,,,,,Recent glyphosate exposure,,,commercial,100,200,,,"HRI Labs, Mosaic Diagnostics, Great Plains",,"Glyphosate disrupts methylation cycle, microbiome (shikimate pathway), sulfate metabolism","MEC-0003,MEC-0008",,,HYP-0005,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Per Seneff Stephanie framework.
BIO-0082,"Phthalate metabolites (composite — MEP, MBP, MEHP, others)",environmental_chemicals,endocrine_disruptor,,urine,μg/g creatinine composite,,,,,,Phthalate exposure burden; endocrine disruption,,,commercial,,,,,"Mosaic GPL-TOX, Genova",,,"MEC-0008,MEC-0016",,,"HYP-0011,HYP-0043",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0083,Bisphenol A (BPA),environmental_chemicals,endocrine_disruptor,,urine,μg/g creatinine,,,,,,,,,commercial,,,,,Mosaic GPL-TOX,,,MEC-0016,,,"HYP-0012,HYP-0043",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0084,PFAS / PFOA composite,environmental_chemicals,forever_chemicals,,serum,ng/mL composite,,,,,,Per- and polyfluoroalkyl substances body burden,,,commercial,,,,,"Quest, specialty environmental labs",,Half-lives of years; reflects long-term exposure,"MEC-0001,MEC-0016",,,HYP-0004,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0085,Organophosphate metabolites (DAPs),environmental_chemicals,pesticide,,urine,μmol/g creatinine composite,,,,,,Recent organophosphate pesticide exposure (dialkyl phosphates),,,commercial,,,,,"research labs, some specialty",,,MEC-0001,,,HYP-0014,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0086,"Mycotoxin panel (aflatoxin, ochratoxin, gliotoxin, trichothecenes)",environmental_chemicals,mycotoxin,,urine,ng/g creatinine composite,,,,,,Mold-derived mycotoxin body burden,,,commercial,300,500,,,"Mosaic MycoTOX, Real Time Lab",,,"MEC-0001,MEC-0002",,,HYP-0016,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0087,Volatile solvents (composite),environmental_chemicals,solvent,,urine,μg/g creatinine,,,,,,"Benzene, toluene, xylene, styrene exposure",,,commercial,,,,,Mosaic GPL-TOX,,,MEC-0001,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0088,Maternal anti-fetal-brain antibodies (MAR Antibodies),maternal_parental,autoantibody,,maternal_serum,positive/negative + specific antigens,,,,,,Maternal autoantibodies cross-reacting with fetal brain antigens,Maternal autoantibody-related autism subgroup; autoantibody-related ASD diagnosis,,specialty_research,,,,,UC Davis MIND Institute (research),,Per Braunschweig / Van de Water framework; ~20% of mothers of autistic children test positive,MEC-0002,,,"HYP-0008,HYP-0051",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0089,Maternal MTHFR genotype,maternal_parental,genetic,,maternal_buccal_or_blood,genotype (CC/CT/TT for C677T; AA/AC/CC for A1298C),,,,,,Maternal MTHFR variant status — affects folate cycle in pregnancy,,,standard_clinical_or_dtc,,,,,"23andMe, Quest, LabCorp",self,Maternal C677T TT genotype + low folate elevates fetal NTD + ASD risk,MEC-0003,,INT-0008,HYP-0003,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0090,Maternal serum vitamin D (during pregnancy),maternal_parental,nutritional,,maternal_serum,ng/mL,30,80,40,60,,Maternal vitamin D status during pregnancy — fetal neurodevelopment input,,Maternal D deficiency; offspring autism + general neurodevelopmental risk elevated,standard_clinical,,,,CLIA,,,,"MEC-0002,MEC-0029",,,"HYP-0020,HYP-0045",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0091,Maternal CRP during pregnancy,maternal_parental,inflammation,,maternal_serum,mg/L,,,,,,Maternal systemic inflammation during pregnancy,Maternal immune activation risk; neuroinflammation-mediated developmental risk to fetus,,commercial,,,,,,,,MEC-0002,,,HYP-0008,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0092,Maternal thyroid panel during pregnancy,maternal_parental,endocrine,,maternal_serum,composite,,,,,,"Maternal TSH, FT3, FT4, TPO antibodies during pregnancy",,,commercial,,,,CLIA,,,Maternal hypothyroidism (even subclinical) elevates offspring neurodevelopmental risk,MEC-0016,,,"HYP-0035,HYP-0048",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0093,Cord blood acetaminophen / acetaminophen-protein adducts,maternal_parental,exposure_marker,,cord_blood,ng/mL,,,,,,Direct measurement of fetal acetaminophen exposure at birth,Documented fetal acetaminophen exposure; per Ji 2020 acetaminophen-ADHD/ASD literature,,research_only,,,,,,,,MEC-0001,,,HYP-0002,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Ji 2020 cord-blood biomarker study evidence (PMID 32519281).
BIO-0094,Cord-blood methylation signature,maternal_parental,epigenetic,,cord_blood,composite methylation array,,,,,,Newborn methylation profile reflecting in-utero environment,,,research_only,,,,,,,Research-grade; predictive for autism in some emerging analyses,MEC-0003,,,HYP-0072,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0095,Paternal age,maternal_parental,epidemiologic,,self_report,years,,,,,,Paternal age at conception,Older paternal age (>40) elevates de novo mutation rate + sperm methylation drift,,commercial,,,,,,,Strong epidemiological signal; mechanistically epigenetic + de novo SNV,MEC-0003,,,"HYP-0009,HYP-0072",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0096,Plasma zinc,trace_minerals,essential,,plasma,μg/dL,70,120,,,,Zinc status; cofactor for >300 enzymes,,Zinc deficiency; pyroluria; copper-overload secondary,commercial,,,,CLIA,,,,,,,HYP-0046,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0097,RBC zinc,trace_minerals,essential,,rbc,μmol/L,,,,,,,,,specialty_clinical,,,,,,,More sensitive than plasma for cellular zinc status,,,,HYP-0046,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0098,Plasma copper + ceruloplasmin,trace_minerals,essential,,serum,μg/dL,,,,,,Copper status; free vs ceruloplasmin-bound,Copper overload; Walsh framework biotype,,commercial,,,,CLIA,,,,,,,HYP-0046,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Per Walsh William framework. Free copper > 25% of total = overload.
BIO-0099,Cu:Zn ratio,trace_minerals,balance,,plasma,ratio,0.7,1.2,,,,Copper-to-zinc balance; key Walsh biotype indicator,"Copper overload phenotype; hyperactivity, sensory issues",,commercial,,,,,,,Walsh framework: optimal ≤1.0; >1.2 = copper overload phenotype,,,,HYP-0046,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Per Walsh framework.
BIO-0100,RBC magnesium,trace_minerals,essential,,rbc,mg/dL,,,,,,,,,specialty_clinical,,,,,,,More sensitive than serum Mg (which is tightly regulated),,,,HYP-0047,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0101,Urinary iodine,trace_minerals,essential,,urine_24h_or_spot,μg/L,100,300,,,,Iodine status; thyroid function precursor,,Iodine deficiency; thyroid hypofunction risk,commercial,,,,CLIA,,,,MEC-0016,,,HYP-0048,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0102,Selenium,trace_minerals,essential,,serum_or_rbc,μg/L,,,,,,Selenium status; glutathione peroxidase cofactor,,,commercial,,,,CLIA,,,,,,,HYP-0049,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0103,Ferritin,trace_minerals,iron_storage,,serum,ng/mL,10,200,,,Pediatric ranges differ substantially: infants 10-200 ng/mL; toddlers 7-140; school-age 10-150. >30 is functional optimal floor but normal infants may run lower.,Iron storage; common deficiency in autistic kids,,Iron deficiency without anemia; common in restricted-diet ASD,commercial,,,,CLIA,,,,,,,HYP-0052,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0104,Urinary kryptopyrroles,pyroluria,diagnostic,,urine,μg/dL,,20,,,,Kryptopyrroles bind/deplete B6 + zinc,Pyroluria phenotype; B6 + zinc + GLA + magnesium protocol,,specialty,,,,,"Direct Healthcare, ALCAT, Bio-Center Labs",,Sample handling matters — light-sensitive; freeze immediately,,,,HYP-0046,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Per Walsh framework + Pfeiffer Treatment Center historical work.
BIO-0105,RBC omega-3 index (EPA + DHA),fatty_acids,essential,,rbc,% of total fatty acids,8,,8,,,Long-term omega-3 status,,Omega-3 insufficiency; supplementation indicated,specialty,,,,,"OmegaQuant, Quest",,,MEC-0031,,,"HYP-0021,HYP-0064",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0106,Omega-6/omega-3 ratio,fatty_acids,balance,,rbc,ratio,,,2,4,,Pro-/anti-inflammatory fatty acid balance,Pro-inflammatory diet; modern Western >15:1,,commercial,,,,,,,,"MEC-0002,MEC-0031",,,HYP-0021,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0107,Trans-fatty acid fraction,fatty_acids,adverse,,rbc,% of total,,,,,,,Industrial trans-fat exposure; mostly historical now,,commercial,,,,,,,,,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0108,Mead acid (essential FA deficiency marker),fatty_acids,deficiency_indicator,,rbc,%,,,,,,,Essential fatty acid deficiency; severe restricted-diet ASD,,commercial,,,,,,,,,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0109,Zonulin,gi_barrier,permeability_marker,,serum_or_stool,ng/mL,,,,,,Tight-junction regulator; intestinal permeability marker,Increased intestinal permeability; 'leaky gut',,specialty,,,,,"Doctor's Data, Genova",,,"MEC-0008,MEC-0022",,,"HYP-0007,HYP-0059",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0110,Lipopolysaccharide (LPS) / endotoxin,gi_barrier,endotoxemia,,serum,EU/mL,,,,,,Bacterial endotoxin in systemic circulation; barrier breach,Translocation of gut bacterial products; metabolic endotoxemia,,specialty_research,,,,,,,,"MEC-0008,MEC-0022",,,HYP-0059,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0111,Calprotectin (fecal),gi_barrier,gi_inflammation,,stool,μg/g,,50,,,,Neutrophilic gut inflammation; elevated in IBD + chronic GI inflammation,Active GI inflammation; targeted GI workup indicated,,standard_clinical,,,,CLIA,,,,MEC-0008,,,HYP-0007,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0112,Secretory IgA (sIgA),gi_barrier,mucosal_immunity,,stool_or_saliva,mg/dL,,,,,,Mucosal immune defense capacity,Active mucosal immune challenge,Compromised mucosal immunity,commercial,,,,,Doctor's Data,,,MEC-0008,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0113,Lactulose:mannitol ratio,gi_barrier,permeability_test,,urine_post_challenge,ratio,,,,,,Functional intestinal permeability test (gold standard),Increased permeability; leaky gut confirmed,,specialty,,,,,Genova,,,"MEC-0008,MEC-0022",,,HYP-0059,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0114,"Full thyroid panel (TSH, FT3, FT4, rT3, TPO, TgAb)",endocrine,thyroid,,serum,composite,,,,,,Comprehensive thyroid function + autoimmunity,,,commercial,,,,CLIA,,,Standard pediatric thyroid panel often misses subclinical hypothyroidism,MEC-0016,,,"HYP-0035,HYP-0048",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0115,DUTCH cortisol (4-point + free + total),endocrine,hpa_axis,,urine_dried,ng/mg creatinine composite,,,,,,Comprehensive HPA axis function — diurnal rhythm + total + free cortisol,,,specialty,,,,,Precision Analytical (DUTCH),,Per Precision Analytical DUTCH panel; reveals patterns serum cortisol misses,MEC-0016,,,"HYP-0036,HYP-0037",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0116,DHEA-S,endocrine,steroid,,serum,μg/dL,,,,,,Adrenal androgen precursor; HPA reserve,,,commercial,,,,CLIA,,,,MEC-0016,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0117,"Sex hormones (estradiol, progesterone, testosterone — DUTCH metabolites)",endocrine,sex_hormones,,urine_dried,composite,,,,,,Sex hormone status + metabolism patterns,,,specialty,,,,,DUTCH,,Particularly relevant in adolescent ASD presentations,MEC-0016,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0118,Vasopressin (AVP),endocrine,neuropeptide,,serum_or_csf,pg/mL,,,,,,Vasopressin neuropeptide; social bonding mechanism,,,research,,,,,,,Research-grade; complementary to oxytocin; Carter framework,,,,HYP-0034,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0119,Oxytocin,endocrine,neuropeptide,,plasma_or_csf,pg/mL,,,,,,Oxytocin neuropeptide; social cognition mechanism,,,research_specialty,,,,,,,,,,INT-0061,HYP-0034,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0120,Melatonin (saliva or urinary 6-sulfatoxymelatonin),endocrine,circadian,,saliva_4_point_or_urine,pg/mL or μg/24h,,,,,,Circadian melatonin pattern; sleep-onset capability,,Melatonin deficiency; supplementation candidate,specialty,,,,,"DUTCH, Genova",,ASD frequently shows blunted melatonin rise,,,,HYP-0039,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0121,Insulin / HOMA-IR,endocrine,insulin_resistance,,serum,μIU/mL + ratio,,,,,,Insulin sensitivity; metabolic dysfunction marker,Insulin resistance; emerging autism / metabolic overlap,,commercial,,,,CLIA,,,,"MEC-0011,MEC-0012",,INT-0037,"HYP-0018,HYP-0019",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0122,IGF-1 + IGFBP-3,endocrine,growth_factor,,serum,ng/mL,,,,,,Insulin-like growth factor axis; growth + neurodevelopment,,,commercial,,,,CLIA,,,,MEC-0012,,,HYP-0032,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0123,Mycoplasma pneumoniae IgM/IgG,chronic_infection,bacterial,,serum,titer,,,,,,Mycoplasma infection — frequent PANS trigger,,,commercial,,,,CLIA,,,,,,,HYP-0026,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0124,Borrelia burgdorferi (Lyme) panel,chronic_infection,tick_borne,,serum,titer + Western blot,,,,,,Lyme disease antibodies,,,commercial,,,,,"Igenex, Quest",,ELISA + Western blot; igenex preferred for chronic suspicion,,,,HYP-0026,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0125,Babesia + Bartonella (tick-borne co-infections),chronic_infection,tick_borne,,serum,titer,,,,,,Lyme co-infection panel,,,commercial,,,,,Igenex,,,,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0126,HHV-6 IgG/IgM + PCR,chronic_infection,herpesvirus,,serum_plasma,titer + viral load,,,,,,HHV-6 infection / reactivation status,Active or reactivated HHV-6 — emerging neuroimmune relevance,,specialty,,,,,"ARUP, Quest",,,,,,"HYP-0026,HYP-0008",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0127,"EBV panel (VCA-IgG, VCA-IgM, EA, EBNA)",chronic_infection,herpesvirus,,serum,titer,,,,,,Epstein-Barr Virus infection stage,,,commercial,,,,CLIA,,,EA elevation suggests reactivation; pattern more informative than single titer,,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0128,CMV IgG/IgM,chronic_infection,herpesvirus,,serum,titer,,,,,,,,,commercial,,,,CLIA,,,Congenital CMV is a recognized cause of neurodevelopmental issues,,,,HYP-0025,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0129,Toxoplasma IgG/IgM,chronic_infection,parasite,,serum,titer,,,,,,,,,commercial,,,,CLIA,,,Maternal toxoplasmosis is a TORCH-class infection cause,,,,HYP-0025,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0130,Rubella IgG (immune status / maternal exposure history),chronic_infection,immune_status,,serum,IU/mL,,,,,,,,,commercial,,,,CLIA,,,Maternal congenital rubella syndrome is the classical environmental ASD cause,,,,HYP-0025,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0131,C. difficile toxin (stool),chronic_infection,gi_pathogen,,stool,positive/negative + toxin,,,,,,C. difficile colonization / active infection,,,commercial,,,,CLIA,,,,MEC-0008,,INT-0076,"HYP-0007,HYP-0057",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0132,Candida IgG + IgA,chronic_infection,fungal,,serum,EU/mL,,,,,,Systemic fungal exposure / colonization,,,commercial,,,,,,,Best paired with urinary arabinose for Candida picture,MEC-0008,,,HYP-0061,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0133,ANA + extractable nuclear antigens,autoimmune,systemic,,serum,titer + pattern,,,,,,Anti-nuclear antibodies; systemic autoimmunity screen,,,commercial,,,,CLIA,,,,MEC-0002,,,HYP-0051,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0134,Anti-tTG IgA + Anti-DGP IgA/IgG,autoimmune,celiac,,serum,U/mL,,,,,,"Celiac disease autoimmunity (anti-transglutaminase, anti-deamidated gliadin peptides)",Celiac disease likely; gluten-free diet medically indicated,,commercial,,,,CLIA,,,,"MEC-0008,MEC-0022",,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0135,Thyroid antibodies (TPO + Tg),autoimmune,thyroid,,serum,IU/mL,,,,,,Hashimoto's thyroiditis screen,Thyroid autoimmunity; often coexists with broader autoimmune profile,,commercial,,,,CLIA,,,,,,,"HYP-0048,HYP-0051",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0136,Anti-cardiolipin / anti-phospholipid,autoimmune,phospholipid,,serum,titer,,,,,,Antiphospholipid syndrome screen; coagulation autoimmunity,,,commercial,,,,CLIA,,,,,,,HYP-0051,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0137,MRI cortical thickness (region-specific),brain_neuroimaging,structural_mri,,mri_imaging,mm,,,,,,"Cortical thickness in autism-relevant regions (STS, fusiform face area, prefrontal)",,,research,,,,,,,ASD shows region-specific thickness alterations; not yet clinically diagnostic but research-anchor,MEC-0006,,,HYP-0073,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0138,Total brain volume / amygdala / cerebellar vermis volumetry,brain_neuroimaging,structural_mri,,mri_imaging,mm³,,,,,,Volumetric MRI abnormalities — early brain overgrowth + amygdala enlargement classical findings,,,research,,,,,,,Courchesne early brain overgrowth framework; cerebellar vermis hypoplasia in some,MEC-0006,,,"HYP-0071,HYP-0073",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0139,DTI fractional anisotropy (white matter tracts),brain_neuroimaging,white_matter,,dti_mri,dimensionless,,,,,,White matter integrity; corpus callosum + arcuate fasciculus + cingulum changes,,,research,,,,,,,Reduced FA in long-range tracts; underlying connectivity-disorder hypothesis,MEC-0006,,,HYP-0073,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0140,Resting-state fMRI default mode network connectivity,brain_neuroimaging,functional_mri,,fmri,connectivity z-score,,,,,,DMN functional connectivity; ASD shows local hyperconnectivity + long-distance hypoconnectivity,,,research,,,,,,,,MEC-0006,,,HYP-0073,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0141,1H-MRS NAA / choline / creatine / glutamate-GABA,brain_neuroimaging,spectroscopy,,mrs,ratio + concentrations,,,,,,"In-vivo brain neurochemistry — neuronal viability (NAA), membrane turnover (Cho), energy buffer (Cr), excit/inhib balance",,,research,,,,,,,Reduced NAA in ASD; elevated glutamate/GABA ratio in some regions,"MEC-0007,MEC-0010,MEC-0020",,,"HYP-0006,HYP-0071",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0142,PET-TSPO (translocator protein — microglial activation),brain_neuroimaging,pet,,pet_imaging,binding potential,,,,,,In-vivo microglial activation — neuroinflammation imaging,Active neuroinflammation; emerging biomarker for inflammatory ASD subgroup,,research_only,,,,,,,,"MEC-0002,MEC-0005",,,HYP-0008,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Cutting-edge; will become clinically actionable as PET-TSPO ligands mature.
BIO-0143,EEG resting-state spectral power (gamma/beta/alpha),brain_electrophysiology,resting_eeg,,eeg,power spectral density,,,,,,Resting-state EEG power; ASD shows characteristic gamma-band abnormalities,,,specialty_clinical_research,,,,,,,Gamma-band abnormalities reflect cortical excitation/inhibition imbalance,"MEC-0007,MEC-0020",,,HYP-0071,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0144,ERP P300 amplitude / latency,brain_electrophysiology,erp,,eeg_evoked,μV + ms,,,,,,Attention / cognitive processing event-related potential,,,research,,,,,,,Reduced P300 amplitude common in ASD; attention/discrimination correlate,"MEC-0006,MEC-0020",,,HYP-0073,,2026-04-30T01:50:29+00:00,2026-04-30T02:06:58+00:00,
BIO-0145,ERP MMN (mismatch negativity),brain_electrophysiology,erp,,eeg_evoked,μV + ms,,,,,,Auditory deviance detection; preconscious sensory processing,,,research,,,,,,,Atypical MMN in ASD; sensory-processing biomarker,"MEC-0006,MEC-0020",,,HYP-0073,,2026-04-30T01:50:29+00:00,2026-04-30T02:06:58+00:00,
BIO-0146,ERP N170 (face processing),brain_electrophysiology,erp,,eeg_evoked,μV + ms,,,,,,Face-specific occipitotemporal response; social-cognition correlate,,,research,,,,,,,Atypical N170 in ASD; social-information processing biomarker,MEC-0006,,,HYP-0073,,2026-04-30T01:50:29+00:00,2026-04-30T02:06:58+00:00,
BIO-0147,qEEG coherence pattern,brain_electrophysiology,qeeg,,eeg,coherence + asymmetry pattern,,,,,,Quantitative EEG connectivity patterns,,,specialty_clinical,,,,,,,Characteristic ASD coherence patterns; some clinical neurofeedback application,"MEC-0006,MEC-0020",,,HYP-0071,,2026-04-30T01:50:29+00:00,2026-04-30T02:06:58+00:00,
BIO-0148,Gaze fixation pattern (eye-tracking),brain_eye_autonomic,eye_tracking,,eye_tracking,dwell time + pattern,,,,,,Atypical face/eye fixation patterns characteristic of ASD,,,research_specialty,,,,,,,Pelphrey/Klin framework; reduced eye-region fixation,MEC-0006,,,HYP-0073,,2026-04-30T01:50:29+00:00,2026-04-30T02:06:58+00:00,Increasingly available in specialized clinics. EarliPoint and other commercial platforms emerging.
BIO-0149,Pupillometry / pupil response,brain_eye_autonomic,autonomic,,eye_tracking,pupil diameter dynamics,,,,,,Autonomic readout via pupil dynamics,,,research,,,,,,,Atypical pupil light response and task-evoked dilation in ASD,MEC-0019,,,,,2026-04-30T01:50:29+00:00,2026-04-30T02:06:58+00:00,
BIO-0150,Heart rate variability (HRV),brain_eye_autonomic,autonomic,,ecg,rMSSD + SDNN + HF/LF,,,,,,Vagal tone / autonomic regulation,,Reduced parasympathetic regulation; dysautonomia common in ASD + MCAS overlap,commercial_wearable_or_clinical,,,,,,,"Polyvagal framework; many wearable devices measure (Polar, Whoop, Oura)",MEC-0019,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0151,CSF cytokines,brain_csf,csf_inflammation,,csf,pg/mL composite,,,,,,"Direct CNS cytokine measurement (IL-6, TNF-α, IL-1β, others)",,,research_or_clinical_indication,,,,,,,Invasive but most direct neuroinflammation measure,"MEC-0002,MEC-0005",,,HYP-0008,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0152,CSF tau / NfL,brain_csf,neuronal_injury,,csf,pg/mL,,,,,,Neuronal injury markers — emerging in autism research,,,research_clinical,,,,,,,Rare in autism; may be relevant in regressive subgroup,MEC-0006,,,HYP-0073,,2026-04-30T01:50:29+00:00,2026-04-30T02:06:58+00:00,
BIO-0153,Serum BDNF (brain-derived neurotrophic factor),brain_peripheral,neurotrophic,,serum,ng/mL,,,,,,Neurotrophin reflecting CNS plasticity / neurogenesis,,,specialty_research,,,,,,,Mixed findings in ASD — both elevated and reduced reported in subgroups,MEC-0028,,,HYP-0073,,2026-04-30T01:50:29+00:00,2026-04-30T02:06:58+00:00,
BIO-0154,Serum S100β (astrocyte marker / BBB disruption),brain_peripheral,astrocyte,,serum,μg/L,,,,,,Astrocyte injury / BBB permeability marker,BBB disruption; emerging neuroinflammation biomarker,,specialty_research,,,,CLIA,,,,"MEC-0004,MEC-0005",,,HYP-0008,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0155,Serum GFAP (glial fibrillary acidic protein),brain_peripheral,astrocyte,,serum,pg/mL,,,,,,Astrocyte activation marker; elevated in many neurological conditions,,,research_to_specialty,,,,,,,,MEC-0005,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0156,Serum neurofilament light chain (NfL),brain_peripheral,neuronal_injury,,serum,pg/mL,,,,,,Axonal damage marker — emerging biomarker of CNS neuronal injury,,,specialty_research,,,,,,,Rising clinical use; emerging in pediatric neurodevelopmental contexts,MEC-0006,,,HYP-0073,,2026-04-30T01:50:29+00:00,2026-04-30T02:06:58+00:00,
BIO-0157,Serum tau,brain_peripheral,neuronal_injury,,serum,pg/mL,,,,,,Neuronal microtubule-associated protein; neurodegeneration marker,,,research,,,,,,,Limited but emerging autism-relevance,MEC-0006,,,HYP-0073,,2026-04-30T01:50:29+00:00,2026-04-30T02:06:58+00:00,
BIO-0158,HSP70 / HSP90 plasma levels,heat_shock,stress_response,,plasma,ng/mL,,,,,,Heat shock protein induction; cellular stress response capacity,,,research,,,,,,,Per Curran fever-effect framework; HSP70 induction may underlie 'fever improves autism' subgroup,MEC-0027,,,HYP-0065,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
