id,name,category,description,affected_population,status,mainstream_consensus_position,confidence_score,evidence_count,evidence_quality_index,consistency_index,created_at,last_updated,notes,category_legacy,evidence_strength_legacy,epidemiological_strength_legacy,mitigation_intervention_ids_legacy,source_pmids_legacy,csrs_score_legacy,csrs_last_updated_legacy
HYP-0066,Hepatitis B vaccine (neonatal birth-dose),other,"Day-of-birth hepatitis B vaccination has been hypothesized as a specific autism risk factor distinct from the broader childhood vaccine schedule, on the basis of (a) the neonatal developmental window, (b) aluminum adjuvant content (~250 mcg per dose), and (c) the small marginal risk-benefit ratio in low-transmission-risk populations. Hepatitis B transmission in children outside vertical (mother→baby) and intimate exposure (sexual contact, IV drug use, blood exposure) is essentially zero; several developed countries (Norway, Netherlands, parts of Scandinavia) have never had universal infant Hep B and target only at-risk groups with similar outcomes. For families with negative maternal HBsAg and no household risk, delaying vaccination until adolescence (when sexual debut becomes the actual transmission mechanism) — or skipping entirely until adult risk emerges — is medically defensible. Per the Hannah Poling framework (SRC-001418), vaccine challenge in a child with underlying mitochondrial vulnerability can decompensate into regressive encephalopathy with autistic features; the universal infant timing maximizes exposure to children whose susceptibility has not yet been assessed. Positive primary evidence: Generation Zero 1999 CDC VSD preliminary (SRC-001415; 11.35x relative risk in highest-thimerosal-exposure cohort, FOIA-released, superseded by Verstraeten 2003 Phase 2 null); Simpsonwood transcript 2000 (SRC-001416; CDC closed meeting verbatim record); Verstraeten internal emails (SRC-001417); Gallagher 2010 NHIS (SRC-001386; 3x odds ratio in male neonates). Population-average null evidence: Verstraeten 2003 Pediatrics Phase 2 (SRC-001388); IOM 2011 systematic review (SRC-001387); Andersson 2025 Danish nationwide cohort n=1.2M (SRC-001389). **Methodological caveat per CLAUDE.md epistemic principles §6 and §7:** the population-average null studies (Andersson, IOM, Verstraeten 2003) answer the question 'does Hep B birth-dose increase autism risk averaged across the general population?' They do not answer 'does Hep B birth-dose increase autism risk in the susceptibility-vulnerable subset?' — that requires subgroup analysis stratified by mitochondrial / methylation / autoimmune markers, which has not been published at scale. The Hannah Poling case (n=1, federally adjudicated) is the only formal example of subgroup-specific causation in this domain and is not refuted by the population-average null. Public framing: 11.35x figure commonly quoted as +1,135% or rounded to '10,000%' in advocacy/press. ACIP September 2025 (SRC-001420) is reviewing the universal-birth-dose policy. Per spec §1.1 and §9.1 status=contested permanent. The atlas preserves both sides; for individual-level decisions in families with potential mitochondrial or methylation susceptibility, the conditional risk profile is not addressed by population-average studies.",All US-born children since 1991 (universal recommendation),contested,"WHO, AAP, ACIP recommend universal hepatitis B birth-dose vaccination. Vertical-transmission mortality reduction is well-established and outside dispute. ACIP September 2025 review retained the universal birth-dose recommendation. Mainstream epidemiology shows no population-average autism association.",0.6226,11,0.7903,0.1914,2026-04-27T22:06:26+00:00,2026-04-29T22:13:43+00:00,"Status=contested permanent. Atlas position: for low-transmission-risk families (negative maternal HBsAg, no household contacts with active Hep B), delaying birth-dose to adolescence or later is medically defensible. Population-average null studies (Andersson 2025 etc.) do not refute subgroup-specific signals per Hannah Poling framework — different study designs answer different questions. ACIP Sep 2025 (SRC-001420) currently reviewing this policy.",,,,,,,
HYP-0067,Aluminum adjuvant cumulative exposure (vaccines),environmental,"Cumulative aluminum from adjuvanted vaccines through the routine childhood schedule (typically 4-5 mg by age 2 in the US schedule) has been hypothesized as a neurodevelopmental risk factor distinct from any specific vaccine. Andersson 2025 nationwide Danish cohort (n=1,224,176) found no association between cumulative aluminum exposure in the first 2 years and 50 chronic conditions including autism (adjusted HR 0.93 per 1-mg increase). Distinct from heavy metal hypothesis (HYP-0015) — aluminum specifically and timing around vaccinations.",Population-wide via routine schedule,contested,"FDA, WHO, EMA, and major immunology bodies conclude that aluminum adjuvants in pediatric vaccines remain below toxicokinetic harm thresholds, supported by Mitkus 2011 Vaccine (PMID 22001122). Andersson 2025 Ann Intern Med Danish nationwide cohort (PMID 40658954) found no association between cumulative aluminum-adsorbed-vaccine exposure and chronic-disease outcomes including autism, asthma, and autoimmune disease at population level.",0.5878,8,0.7766,0.0456,2026-04-27T22:06:26+00:00,2026-04-29T22:13:43+00:00,"Andersson 2025 JAMA Ann Intern Med null at population scale; minority claims (Tomljenovic + Shaw, Exley) maintain concerns. Status=contested.",,,,,,,
HYP-0068,MMR vaccine specifically (contested),other,"Measles-mumps-rubella combination vaccine has been the most intensively studied vaccine-autism question. Wakefield 1998 Lancet (later retracted) initiated the hypothesis. Subsequent large cohort studies — Madsen 2002 (NEJM, Denmark, n=537,303), Jain 2015 (JAMA, US sibling design, n=95,727), Hviid 2019 (Annals Intern Med, Denmark, n=657,461) — found no association. Hooker 2014/2018 (Translational Neurodegeneration → retracted; republished J Am Phys Surg 2018) re-analyzed CDC DeStefano 2004 data and claimed an association in African-American boys vaccinated before 36 months. Status=contested per spec §9.1.",Population-wide via routine schedule,contested,"WHO, CDC, AAP, EMA, NHS recommend MMR vaccine on the standard schedule. Multiple large cohort studies — Madsen 2002 NEJM 537,000+ children (PMID 12421889); Hviid 2019 Ann Intern Med 657,000+ children (PMID 30831578); DeStefano 2019 Annu Rev Virol review (PMID 30986133); Honda 2005 Yokohama natural experiment (PMID 15877763) — find no association between MMR and autism. Wakefield 1998 paper was retracted by The Lancet in 2010 (PMID 20137807 retraction notice).",0.6265,14,0.9003,0.0148,2026-04-27T22:12:16+00:00,2026-04-29T22:13:43+00:00,Wakefield 1998 retracted (Lancet); 4 large cohort studies negative; Hooker 2014/2018 reanalysis claims subgroup effect.,,,,,,,
HYP-0069,"Thimerosal exposure (contested, largely removed)",other,"Thimerosal (ethylmercury preservative) was removed from essentially all US childhood vaccines by 2001 except some influenza formulations. Pre-2001 hypothesis: cumulative ethylmercury exposure → neurodevelopmental disorders. Post-2001: autism prevalence continued to rise despite removal, which the IOM 2004 review and subsequent studies cite as evidence against causation. Geier and Geier studies claimed association. Status=contested. Mainly historical given exposure removal.",Pre-2001 US-born children; some flu vaccines still,contested,"WHO continues to endorse thimerosal-containing multi-dose vaccines globally as safe and necessary for cold-chain logistics. Thimerosal was removed from US childhood vaccines (excluding some influenza formulations) by 2001 per a precautionary FDA / AAP joint statement. Subsequent large cohort studies — Verstraeten 2003 Pediatrics (PMID 14595043), Madsen 2003, Heron 2004 — found no association between thimerosal exposure and autism at population level.",0.6542,17,0.8700,0.3277,2026-04-27T22:12:16+00:00,2026-04-29T22:13:43+00:00,IOM 2004 review specifically rejected; mostly historical.,,,,,,,
HYP-0070,Lactate / pyruvate ratio elevation (bioenergetic biomarker),metabolic,"Elevated blood/CSF lactate (≥22 mg/dL) and lactate:pyruvate ratio (>25) indicate anaerobic shift in cellular metabolism, reported across autism, schizophrenia, bipolar. Distinct from general 'mitochondrial dysfunction' hypothesis (HYP-0006) — this is the specific quantifiable bioenergetic biomarker. Magnesium (lactate clearance), B-complex (PDH/ETC cofactors), and CO2 (Bohr effect) are mechanistically targetable. anomalie_blue's Ray-Peat-influenced framing on X.",Subset with elevated biomarkers; ~30-50% of mitochondrial subset,active,,0.3712,1,0.1883,1.0000,2026-04-27T22:16:07+00:00,2026-04-29T22:13:43+00:00,Oh 2020 Korean cohort; bioenergetic framing emphasizes metabolism-first interpretation.,,,,,,,
HYP-0071,Brainstem/pons hypoplasia + GABA developmental switch failure,neurodevelopmental,"Joint developmental hypothesis (Inui 2017, building on Ben-Ari GABA-switch literature): a large fraction of autism is driven by two convergent early events. (a) Mild hypoplasia of the pons around neural tube closure, distorting brainstem-mediated sensory/motor gating and arousal from earliest development. (b) Failure of the developmental GABA polarity switch — GABA fails to transition from excitatory (depolarizing) to inhibitory (hyperpolarizing) around birth, due to dysregulated NKCC1 (chloride importer) down-regulation and KCC2 (chloride exporter) up-regulation. Combined effect: cortical circuits with elevated excitation/inhibition ratio, local hyperconnectivity, reduced long-range integration. This framework reframes autism as convergence of many gene/environment factors onto these two specific early brain events, rather than thousands of distinct primary causes. Mechanistic basis for bumetanide (INT-0005, NKCC1 inhibitor) clinical trials. Per CLAUDE.md epistemic principles, listed as developmental-convergence hypothesis with strong mechanistic support and ongoing clinical evidence.",Subset (proportion uncertain; framework hypothesis),active,,0.5954,4,0.6064,1.0000,2026-04-28T16:14:42+00:00,2026-04-29T22:13:43+00:00,Convergence-framework hypothesis. Mechanism specifically supported by Ben-Ari group + Inui review; clinical validation via bumetanide trials (mixed Phase 3 results consistent with subgroup-specific effect per CLAUDE.md §6/§7).,,,,INT-0005,28744208;25168736;22547529;41580462,,
HYP-0072,Epigenetic canalization failure,epigenetic,"Autism arises when epigenetic programming systems (DNA methylation, histone modifications, chromatin structure) fail to canalize development into a typical trajectory at key neurodevelopmental loci. Methylation changes at promoters of RELN, GAD1, MECP2/EGR2, GABRB3, and other genes can shift inhibitory signaling and cortical maturation without any change to the underlying DNA sequence. Twin discordance studies (Wong 2014 monozygotic twins discordant for ASD) document dozens of differentially-methylated regions including at GABA receptor loci. Distinct from HYP-0003 (maternal folate deficiency, upstream nutritional input) in that the failure is in the epigenetic *programming* itself rather than in upstream methyl-donor supply. Implicates the methylation cycle (MEC-0003) but as an output mechanism, with the canalization failure being a higher-level systems property.",Substantial subset (twin discordance studies suggest variable penetrance),active,,0.3663,1,0.1276,1.0000,2026-04-28T16:14:42+00:00,2026-04-29T22:13:43+00:00,"Epigenetic-systems hypothesis. Connects to MEC-0003 (impaired methylation) as one output mechanism; broader than that mechanism alone. Implicates GABRB3 promoter methylation specifically, linking to HYP-0071.",,,,,23608919,,
HYP-0073,Developmental timing / state-transition disorder,neurodevelopmental,"Brain development requires precisely-timed sequential transitions: proliferation → migration → synaptogenesis → pruning → GABA polarity switch. If these transitions are delayed, accelerated, or fail to complete, the system can settle into alternative stable states with autistic features. Stoner et al. 2014 documented patches of disorganized cortical lamination in postmortem autism brains, suggesting prenatal migration-timing errors. Different ASD genes have highly restricted spatiotemporal expression windows; the same genetic variant produces phenotypically different autisms depending on when in development the disruption manifests (consistent with the multiple-distinct-autisms framework — Pagani 2025 fMRI subtyping). This is a meta-hypothesis: a cause perturbs a specific developmental window, and the phenotype depends on what process was unfolding in that window. Closely related to (but distinct from) HYP-0071 (specific brainstem+GABA early event) — HYP-0073 is the broader timing-frame, HYP-0071 is one specific early instance.",Variable; framework applies across subtypes,active,,0.5223,3,0.4066,1.0000,2026-04-28T16:14:42+00:00,2026-04-29T22:13:43+00:00,Meta-hypothesis on developmental timing. Supports the atlas's phenotype-multiplicity stance: different timing of disruption → different phenotype subset. Implicates MEC-0006 (synaptic pruning) and any mechanism with narrow developmental window.,,,,,24670167;40093106,,
HYP-0074,PANS/PANDAS — post-infectious autoimmune neuropsychiatric syndrome,immune_autoimmune,"Pediatric Acute-onset Neuropsychiatric Syndrome (PANS) / Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcus (PANDAS) — a real, identifiable autoimmune subgroup of children whose neuropsychiatric symptoms (often labeled regressive autism) are post-infectious and immunologically driven. Anti-neuronal antibodies cross-reacting with basal ganglia (anti-tubulin, anti-lysoganglioside, anti-D1/D2, CaMKII activation). Per Swedo / Cunningham framework. Treatable via NSAIDs, antibiotics, IVIG, plasmapheresis, LDN.","Pediatric, sudden-onset OCD/tics/anxiety/sensory regression; typically post-strep, mycoplasma, Lyme, viral infection",active,,0.65,0,0,0,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,"Diagnostic via Cunningham Panel + clinical course + infection history. Per Swedo (NIMH) + Cunningham (OUHSC) frameworks. Researchers: Swedo_Sue, Cunningham_Madeleine.",,,,,,,
HYP-0075,Mast Cell Activation Syndrome (MCAS) in autism,immune_autoimmune,"Mast cell hyperactivity affecting GI, autonomic, dermatologic, and neuroinflammatory systems in a substantial autism subgroup. Per Theoharides framework: mast cells + microglia coupling drives autism-relevant neuroinflammation. Diagnostic via tryptase + N-methylhistamine + PGD2 metabolite + chromogranin A. Treatable via H1+H2 antihistamines, cromolyn, ketotifen, luteolin, quercetin.","Children with chronic atopic disease, GI dysmotility, dysautonomia, flushing, behavioral worsening with mast-cell triggers",active,,0.60,0,0,0,2026-04-30T02:26:58+00:00,2026-04-30T02:26:58+00:00,"Per Theoharides framework; mast cells release >200 mediators including histamine, tryptase, IL-6, TNF-α. Researcher: Theoharides_Theoharis.",,,,,,,
